CODE,NAME,SHORTNAME,STATUS,LOGO
002,BANK RAKYAT INDONESIA,BRI,1,state-owned/bri.svg
003,BANK EKSPOR INDONESIA,EKSPOR_INDONESIA,1,other/eximbank.png
008,BANK MANDIRI,MANDIRI,1,state-owned/mandiri.svg
009,BANK NEGARA INDONESIA,BNI,1,state-owned/bni.svg
011,BANK DANAMON,DANAMON,1,private/danamon.svg
013,BANK PERMATA,PERMATA,1,private/permata.svg
014,BANK CENTRAL ASIA,BCA,1,private/bca.svg
016,BANK MAYBANK,BII,1,private/maybank.svg
019,BANK PANIN,PANIN,1,private/paninbank.svg
020,BANK ARTA NIAGA KENCANA,ARTA_NIAGA_KENCANA,1,other/bank-ank.jpg
022,BANK MITRA NIAGA,MITRA_NIAGA,1,other/bank-mitraniaga.png
028,BPR DANAGUNG RAMULTI,DANAGUNG_RAMULTI,1,other/bank-danagung.png
031,CITIBANK,CITIBANK,1,foreign/citibank.svg
032,JP MORGAN CHASE BANK,JPMORGAN,1,foreign/jp-morgan-chase.svg
037,BANK ARTHA GRAHA INTERNATIONAL,ARTHA,1,private/bank-artha-graha-internasional.svg
040,BANGKOK BANK,BANGKOK,1,foreign/bangkok-bank.svg
041,HONGKONG AND SHANGHAI BANK CORPORATION (HSBC),HSBC,1,private/hsbc.svg
042,BANK OF TOKYO MITSUBISHI UFJ,TOKYO,1,other/bank-tokyo-mufg.webp
045,BANK SUMITOMO MITSUI INDONESIA,MITSUI,1,private/bank-smbc-indonesia.svg
046,BANK DBS INDONESIA,DBS,1,private/dbs.svg
047,BANK RESONA PERDANIA,RESONA,1,private/bank-resona-perdania.svg
048,BANK MIZUHO INDONESIA,MIZUHO,1,private/mizuho-bank.svg
050,STANDARD CHARTED BANK,STANDARD_CHARTERED,1,foreign/standard-chartered.svg
052,BANK ABN AMRO,ABN_AMRO,1,other/bank-abn-amro.svg
054,BANK CAPITAL INDONESIA,CAPITAL,1,private/bank-capital.svg
057,BANK BNP PARIBAS,BNP,1,private/bnp-paribas.svg
058,BANK UOB INDONESIA,UOB,1,private/uob.svg
059,KOREA EXCHANGE BANK DANAMON,KEBD,1,other/bank-keb.jpg
060,BANK RABOBANK INTERNATIONAL INDONESIA,RABOBANK,1,other/radobank.jpg
061,BANK ANZ INDONESIA,ANZ,1,private/anz.svg
067,DEUTSCHE BANK,DEUTSCHE,1,foreign/deutsche-bank.svg
068,BANK WOORI INDONESIA,WOORI,1,private/bank-woori-saudara.svg
069,BANK OF CHINA (BOC),BOC,1,other/bank-of-china.png
076,BANK BUMI ARTA,BUMI_ARTA,1,other/bank-bumi-arta.png
087,BANK KESEJAHTERAAN EKONOMI,KESEJAHTERAAN_EKONOMI,1,other/bank-kesejahteraan.jpg
095,BANK MUTIARA,MUTIARA,1,other/mutiara-bank.jpg
097,BANK MAYAPADA INTERNATIONAL,MAYAPADA,1,private/bank-mayapada.svg
110,BANK BJB,BJB,1,local/bank-bjb.svg
111,BANK DKI,DKI,1,local/bank-dki.svg
112,BANK PEMBANGUNAN DAERAH (BPD DIY),BPD_DIY,1,local/bank-bpd-diy.svg
113,BPD JAWA TENGAH,JAWA_TENGAH,1,local/bank-bpd-jateng.svg
114,BPD JAWA TIMUR,JAWA_TIMUR,1,local/bank-bpd-jatim.svg
115,BPD JAMBI,JAMBI,1,local/bank-bpd-jambi.svg
116,BPD ACEH UUS,ACEH_UUS,1,local/bank-bpd-aceh.svg
117,BPD SUMUT,SUMUT,1,local/bank-bpd-sumut.svg
118,BPD SUMATERA BARAT,SUMATERA_BARAT,1,other/bank-nagari.png
119,BPD RIAU DAN KEPRI,RIAU_DAN_KEPRI,1,local/bank-bpd-riau-kepri.svg
120,BPD SUMSEL DAN BABEL,SUMSEL_DAN_BABEL,1,local/bank-bpd-sumsel-babel.svg
121,BPD LAMPUNG,LAMPUNG,1,local/bank-lampung.svg
122,BPD KALIMANTAN SELATAN,KALIMANTAN_SELATAN,1,other/bank-kalsel.png
123,BPD KALIMANTAN BARAT,KALIMANTAN_BARAT,1,other/bank-kalbar.png
124,BPD KALIMANTAN TIMUR,KALIMANTAN_TIMUR,1,local/bank-bpd-kalimantan-timur.svg
125,BPD KALIMANTAN TENGAH,KALIMANTAN_TENGAH,1,other/bank-kalteng.png
126,BPD SULSELBAR,SULSELBAR,1,local/bank-bpd-sulselbar.svg
127,BPD SULUT,SULUT,1,local/bank-bpd-sulutgo.svg
128,BPD NUSA TENGGARA BARAT UUS,NUSA_TENGGARA_BARAT_UUS,1,other/bank-ntb.jpg
129,BPD BALI,BALI,1,local/bank-bpd-bali.svg
130,BPD NUSA TENGGARA TIMUR,NUSA_TENGGARA_TIMUR,1,local/bank-bpd-ntt.svg
